Source	CompanyID	Cup Org ID	Name	Address Line 1	City	State	Zip Code	Zip Code 5 Numeric	CompanyType	WebSite	MemberType	#ASAEMembers	Industry	Budget	EIN	#Staff
OrgMembers	2137200	83562	Interel	8400 Westpark Dr 2nd Fl	McLean	VA	22102	22102	AMC (Association Management Company)	www.interelgroup.com	Company Member	46	AMC  - Association Management Companies	G - $25 million but less than $50 million		49
OrgMembers	23969600	52902	University Risk Management and Insurance Association	"400 W 7th St, Ste 301"	Bloomington	IN	47404	47404	Professional Association	www.urmia.org	Company Member	7	EDU  - Education	D - $1 million but less than $5 million	237240485	6
OrgMembers	578500	22974	The Optical Society	2010 Massachusetts Ave NW	Washington	DC	20036-1023	20036	Professional Association	www.osa.org	Company Member	138	SCI  - Science and Humanities	G - $25 million but less than $50 million	530259696	117
OrgMembers	2573800	21587	Anxiety & Depression Association of America	8701 Georgia Ave #412	Silver Spring	MD	20910	20910	Professional Association	www.adaa.org	Company Member	6	HEA  - Health Care	D - $1 million but less than $5 million	521248820	6
OrgMembers	100080170	9908	The Coalition for Hemophilia B	757 Third Avenue	New York	NY	10017	10017	Philanthropic/Non-Profit/Charitable/Foundation Org	Hemob.org	Company Member	0		U - Unknown		2
OrgMembers	521100	13571	National Pest Management Association	10460 North St	Fairfax	VA	22030	22030	Trade Association	www.pestworld.org	Company Member	25	PSC  - Pest Control	E - $5 million but less than $10 million	221605917	23
OrgMembers	6691000	55417	Kansas Optometric Association 	1266 Southwest Topeka Blvd	Topeka	KS	66612-1815	66612	Professional Association	www.kansasoptometric.org	Company Member	3	MED  - Medical/Medical Specialty	B - $100 thousand but less than $500 thousand	480521386	3
OrgMembers	100058477	38953	National Association for Fixed Annuities	1155 F Street NW	Washington	DC	20004	20004	Trade Association	www.nafa.com	Company Member	7	FINA - Financial/Investment/Retirement Services	U - Unknown	541877987	5
OrgMembers	12164700	56548	North Carolina Nursery & Landscape Association Inc	968 Trinity Road	Raleigh	NC	27607	27607	Trade Association	www.ncnla.com	Company Member	6	PLA  - Plants/Flowers	C - $500 thousand but less than $1 million	561331003	5
OrgMembers	6677300	3853	Association of Government Accountants	2208 Mount Vernon Ave	Alexandria	VA	22301-1314	22301	Professional Association	www.agacgfm.org	Company Member	17	ACC  - Accounting	D - $1 million but less than $5 million	530217158	22
OrgMembers	6203800	61800	Northeast Spa and Pool Association Inc	6B South Gold Dr	Hamilton	NJ	8691	8691	Trade Association	www.nespapool.org	Company Member	8	OTH  - Other	D - $1 million but less than $5 million	136272699	9
OrgMembers	100048290	49567	American College of Veterinary Internal Medicine	8301 E. Prentice Ave	Greenwood Village	CO	80111	80111	Professional Association	www.acvim.org	Company Member	18	VET  - Veterinary	D - $1 million but less than $5 million	237302718	16
OrgMembers	10910000	58139	Oklahoma Association of Optometric Physicians	"4850 N. Lincoln Blvd, #A"	Oklahoma City	OK	73105-3413	73105	Professional Association	www.oaop.com	Company Member	5	MED  - Medical/Medical Specialty	C - $500 thousand but less than $1 million	730641734	4
OrgMembers	100005053	52567	Association for Library Collections and Technical Services	50 East Huron St	Chicago	IL	60611	60611	Combined Trade & Professional Association	www.ala.org/alcts	Company Member	3	LIB  - Libraries	H - $50 million but less than $100 million		3
OrgMembers	17270600	62331	Georgia Trial Lawyers Association 	101 Marietta St NW #3350	Atlanta	GA	30303	30303	Professional Association	www.gtla.org	Company Member	7	LEG  - Legal/Law Enforcement	D - $1 million but less than $5 million	581156021	6
OrgMembers	18031600	21936	Strategic and Competitive Intelligence Professionals	7550 IH 10W. Suite 400	San Antonio	TX	78229	78229	Professional Association	www.scip.org	Company Member	7	BUS  - Business	D - $1 million but less than $5 million	841035103	2
OrgMembers	3085100	58037	Virginia Association of Museums	3126 W Cary St	Richmond	VA	23221-3504	23221	Philanthropic/Non-Profit/Charitable/Foundation Org	www.vamuseums.org	Company Member	2	CUL  - Culture	B - $100 thousand but less than $500 thousand	546075555	2
OrgMembers	529400	51211	"National Student Nurses Association, Inc."	45 Main St #606	Brooklyn	NY	11201	11201	Professional Association	www.nsna.org	Company Member	13	NUR  - Nursing	D - $1 million but less than $5 million	136081991	12
OrgMembers	100040112	#N/A	United States Tennis Association Mid-Atlantic Section	11410 Isaac Newton Square North #270	Reston	VA	20190	20190	Trade Association	www.midatlantic.usta.com	Company Member	20	SPO  - Sports	U - Unknown	541472806	29
OrgMembers	1376700	56629	Wisconsin Broadcasters Association 	44 East Mifflin St #900	Madison	WI	53703-2800	53703	Trade Association		Company Member	3	COM  - Communications	C - $500 thousand but less than $1 million	396123891	3
OrgMembers	344900	13973	Industrial Designers Society of America	555 Grove St	Herndon	VA	20170	20170	Professional Association	www.idsa.org	Company Member	15	DEC  - Industrial/Interior Design	D - $1 million but less than $5 million	132517431	16
OrgMembers	1171900	50683	Laser Institute of America 	13501 Ingenuity Dr #128	Orlando	FL	32826-3274	32826	Professional Association	www.lia.org	Company Member	1	SCI  - Science and Humanities	D - $1 million but less than $5 million	952535904	25
OrgMembers	1309300	#N/A	Nebraska Safety Council Inc	3243 Cornhusker Hwy #A10	Lincoln	NE	68504-1592	68504	Trade Association	www.nesafetycouncil.org	Company Member	7	SAF  - Safety	D - $1 million but less than $5 million	476027322	13
OrgMembers	6796200	51695	Truss Plate Institute 	218 North Lee St #312	Alexandria	VA	22314	22314	Trade Association	www.tpinst.org	Company Member	2	MAT  - Materials	B - $100 thousand but less than $500 thousand	520886039	2
OrgMembers	100058022	63617	Council of Multiple Listing Services	330 N. Wabash Avenue	Chicago	IL	60611	60611	Trade Association	www.councilofmls.org	Company Member	2	EDU  - Education	D - $1 million but less than $5 million	911454584	2
OrgMembers	10056800	15158	American Association of Pharmaceutical Scientists	2107 Wilson Blvd #700	Arlington	VA	22201-3042	22201	Professional Association	www.aaps.org	Company Member	31	SCI  - Science and Humanities	F - $10 million but less than $25 million	521444968	30
OrgMembers	2694800	14731	American Industrial Hygiene Association	3141 Fairview Park Dr # 777	Falls Church	VA	22042	22042	Professional Association	www.aiha.org	Company Member	46	SAF  - Safety	F - $10 million but less than $25 million	381618683	48
OrgMembers	23590700	59754	Vermont Captive Insurance Association	"180 Battery Street, Suite 200"	Burlington	VT	5401	5401	Trade Association	www.vcia.com	Company Member	6	INS  - Insurance Industry	C - $500 thousand but less than $1 million	222744474	6
OrgMembers	489100	13563	National Association of State Directors of Developmental Disabilities Services	"301 N. Fairfax St., Suite 101"	Alexandria	VA	22314	22314	Combined Trade & Professional Association	www.nasddds.org	Company Member	13	HEA  - Health Care	D - $1 million but less than $5 million	237013310	10
OrgMembers	46092500	89693	Mennonite Health Service Alliance	1112 N. Main St	Goshen	IN	46528	46528	Professional Association	www.mhsonline.org	Company Member	8	HEA  - Health Care	C - $500 thousand but less than $1 million	231421919	8
OrgMembers	22781100	49547	American College of Foot and Ankle Surgeons	8725 West Higgins Rd #555	Chicago	IL	60631	60631	Professional Association	www.acfas.org	Company Member	12	MED  - Medical/Medical Specialty	E - $5 million but less than $10 million	237171433	16
OrgMembers	100037962	#N/A	Association of Enterprise Architects	800 District Ave.	Burlington	MA	1803	1803	Professional Association	www.globalaea.org	Company Member	1	OTH  - Other	B - $100 thousand but less than $500 thousand	208283292	2
OrgMembers	9288300	56356	South Carolina Association of School Administrators	121 Westpark Blvd	Columbia	SC	29210-3857	29210	Professional Association		Company Member	6	EDU  - Education	B - $100 thousand but less than $500 thousand	570625034	6
OrgMembers	6900600	20656	"Taxicab, Limousine and Paratransit Association"	3200 Tower Oaks Blvd #220	Rockville	MD	20852-4265	20852	Trade Association	www.tlpa.org	Company Member	4	TRA  - Transportation	D - $1 million but less than $5 million	360730655	4
OrgMembers	29800	49496	American Association of School Personnel Administrators	11863 West 112th St #100	Overland Park	KS	66210	66210	Professional Association	www.aaspa.org	Company Member	4	EDU  - Education	C - $500 thousand but less than $1 million	260035117	4
OrgMembers	18546000	52257	Materials Technology Institute 	1001 Craig Road	Saint Louis	MO	63146	63146	Trade Association	www.mti-global.org	Company Member	12	CHE  - Chemical/Chemical Engineering	D - $1 million but less than $5 million	132892392	12
OrgMembers	100068342	#N/A	United Philanthropy Forum	1020 19th Street NW	Washington	DC	20036	20036	Professional Association	www.givingforum.org	Company Member	6		U - Unknown	52-2122029	5
OrgMembers	37330600	47950	National Organization of Nurse Practitioner Faculties	1615 M St. NW	Washington	DC	20036	20036	Combined Trade & Professional Association	www.nonpf.com	Company Member	3	NUR  - Nursing	B - $100 thousand but less than $500 thousand	850320332	3
OrgMembers	31583500	54134	ASCCP	1530 Tilco Drive Suite C	Frederick	MD	21704	21704	Professional Association	www.asccp.org	Company Member	4	MED  - Medical/Medical Specialty	B - $100 thousand but less than $500 thousand	237399484	5
OrgMembers	100016145	16272	National Association of School Nurses	1100 Wayne Ave. #925	Silver Spring	MD	20910	20910	Professional Association	www.nasn.org	Company Member	17	EDU  - Education	D - $1 million but less than $5 million	520886492	20
OrgMembers	100056550	33760	National Association of Certified Professional Midwives	N/A	Washington	DC	20005	20005	Professional Association	www.nacpm.org	Company Member	1		B - $100 thousand but less than $500 thousand	43585032	1
OrgMembers	100072402	#N/A	C200	"980 North Michigan Avenue, Suite 1575"	Chicago	IL	60611	60611	Professional Association	www.c200.org	Company Member	6		U - Unknown		6
OrgMembers	520300	21037	National Parent Teacher Association	1250 North Pitt St	Alexandria	VA	22314	22314	Federation of Associations	www.pta.org	Company Member	48	EDU  - Education	F - $10 million but less than $25 million	362169155	51
OrgMembers	100024433	40442	Magnet Schools of America	1909 K Street NW	Washington	DC	20006	20006	Trade Association	www.magnet.edu	Company Member	4		B - $100 thousand but less than $500 thousand	760428386	9
OrgMembers	729700	55811	New York State Society of Anesthesiologists Inc	110 E 40th St #300	New York	NY	10016	10016	Professional Association	www.nyssa-pga.org	Company Member	5	MED  - Medical/Medical Specialty	D - $1 million but less than $5 million	131938679	8
OrgMembers	100021444	84754	Association of International Petroleum Negotiators	11111 Katy Freeway #615	Houston	TX	77079	77079	Professional Association	www.aipn.org	Company Member	6	NRG  - Energy	D - $1 million but less than $5 million	760105598	7
OrgMembers	524600	25236	National Roofing Contractors Association	10255 West Higgins Rd #600	Rosemont	IL	60018-5607	60018	Trade Association	www.nrca.net	Company Member	56	CNT  - Construction/Contractors	F - $10 million but less than $25 million	362023984	50
OrgMembers	19868000	#N/A	Home Builders Association of Billings	"1645 Ave. D, #F"	Billings	MT	59102	59102	Trade Association	www.hbabillings.net	Company Member	0	CNT  - Construction/Contractors	A - Less than $100 thousand	810263547	2
OrgMembers	45998600	49364	African Studies Association 	54 Joyce Kilmer Avenue	Piscataway	NJ	08854-804	8854	Combined Trade & Professional Association	www.africanstudies.org	Company Member	2	EDU  - Education	A - Less than $100 thousand	581832301	3
