state,acronym
aguascalientas,AG
alabama,AL
alaska,AK
alberta,AB
american samoa,AS
arizona,AZ
arkansas,AR
baja north,BA
baja south,BJ
british columbia,BC
california,CA
campeche,CE
chiapas,CI
chihuahua,CH
coahuila de zaragoza,CU
colima,CL
colorado,CO
connecticut,CT
delaware,DE
district of columbia,DC
distrito,DF
durango,DO
federated states of micronesia,FM
florida,FL
georgia,GA
guam,GU
guanajuato,GU
guerrero,GR
hawaii,HI
hidalgo,HL
idaho,ID
illinois,IL
indiana,IN
iowa,IA
jalisco,JL
kansas,KS
kentucky,KY
louisiana,LA
maine,ME
manitoba,MB
mariana islands,MP
marshall islands,MH
maryland,MD
massachusetts,MA
mexico state,MX
michigan,MI
michoacan de ocampo,MC
minnesota,MN
mississippi,MS
missouri,MO
montana,MT
morelos,MR
nayarit,NA
nebraska,NE
nevada,NV
new brunswick,NB
new hampshire,NH
new jersey,NJ
new mexico,NM
new york,NY
newfoundland,NF
north carolina,NC
north dakota,ND
northwest territory,NT
nova scotia,NS
nuevo leon,NL
nunavut territory,NU
oaxaca,OA
ohio,OH
oklahoma,OK
ontario,ON
oregon,OR
palau,PW
pennsylvania,PA
prince edward island,PE
puebla,PB
puerto rico,PR
quebec,QC
queretaro de arteaga,QU
quintana roo,QR
rhode island,RI
san luis potosi,SL
saskatchewan,SK
sinaloa,SI
sonora,SO
south carolina,SC
south dakota,SD
tabasco,TB
tamaulipas,TA
tennessee,TN
texas,TX
tlaxcala,TL
utah,UT
veracruz-llave,VC
vermont,VT
virgin islands,VI
virginia,VA
washington,WA
west virginia,WV
wisconsin,WI
wyoming,WY
yucatan,YU
yukon territory,YT
zacatecas,ZA
