	id_l	id_r	id_l count	l_org_name	l_city	l_state	l_postal_code	l_domain	l_clean_phone	r_org_name	r_city	r_state	r_postal_code	r_domain	r_clean_phone	jaro_score	fuzz_partial_score	fuzz_sort_score	fuzz_set_score	uniq	state_match	zip_match	domain_match	phone_match	overall_name_score	composite_match_score	is_match
19778	1000	19406	7	Miami University of Ohio	Oxford	oh	45056	muohio.edu	5135291809	Miami University of Ohio	Oxford	oh	45056	muohio.edu	5135291809	1	1	1	1	1	1	1	1	1	4.5	10.5	1
4173438	1006	7492	11	Michigan State University	East Lansing	mi	48824-1046	msu.edu	5173551855	Michigan State University	E. Lansing	mi	48824-1046	msu.edu	5173551855	1	1	1	1	1	1	1	1	1	4.5	10.5	1
3339786	100749	45684	14	Oxford House World Services	Silver Spring	md	20910	oxfordhouse.org	3015872916	Oxford House World Services	Silver Spring	md	20910	oxfordhouse.org	3015872916	1	1	1	1	1	1	1	1	1	4.5	10.5	1
4451309	100752	46206	11	Oregon Association of Conservation Districts	Salem	or	97309	oacd.org	5035669157	Oregon Association of Conservation Districts	Salem	or	97309	oacd.org	5035669157	1	1	1	1	1	1	1	1	1	4.5	10.5	1
4454552	100753	46351	8	Pacific Landscape Management	Hillsboro	or	97124	pacscape.com	5036483900	Pacific Landscape Management	Hillsboro	or	97124	pacscape.com	5036483900	1	1	1	1	1	1	1	1	1	4.5	10.5	1
4454793	100756	46775	9	Orange County Association of Realtors	Laguna Hills	ca	92653	ocar.org	9495866800	Orange County Association of Realtors	Laguna Hills	ca	92653	ocar.org	9495866800	1	1	1	1	1	1	1	1	1	4.5	10.5	1
4454939	100757	46858	14	Orienteering USA	Philadelphia	pa	19128	orienteeringusa.org	2154829479	Orienteering USA	Philadelphia	pa	19128	orienteeringusa.org	2154829479	1	1	1	1	1	1	1	1	1	4.5	10.5	1
3538871	100761	47541	10	OrangeTheory Fitness	Boca Raton	fl	33431	orangetheoryfitness.com	5617500900	OrangeTheory Fitness	Boca Raton	fl	33431	orangetheoryfitness.com	5617500900	1	1	1	1	1	1	1	1	1	4.5	10.5	1
3643678	100763	48068	12	Oklahoma Academy of Physician Assistants	Oklahoma City	ok	73101	okpa.org	4052363161	Oklahoma Academy of Physician Assistants	Oklahoma City	ok	73101	okpa.org	4052363161	1	1	1	1	1	1	1	1	1	4.5	10.5	1
3644429	100765	48074	12	Oklahoma Historical Society	Oklahoma City	ok	73105	okhistory.org	4055212491	Oklahoma Historical Society	Oklahoma City	ok	73105	okhistory.org	4055212491	1	1	1	1	1	1	1	1	1	4.5	10.5	1
3644793	100767	48183	11	Oklahoma Coaches Association	Oklahoma City	ok	73139	okcoachesassn.com	4056359300	Oklahoma Coaches Association	Oklahoma City	ok	73139	okcoachesassn.com	4056359300	1	1	1	1	1	1	1	1	1	4.5	10.5	1
4455713	100769	46938	9	Pershing Rifles Group	Sanford	nc	27330	theprgroup.org	5313332525	Pershing Rifles Group	Sanford	nc	27330	theprgroup.org	5313332525	1	1	1	1	1	1	1	1	1	4.5	10.5	1
4455921	100772	45812	10	Patients Out of Time	Howardsville	va	24562	medicalcannabis.com	4342603779	Patients Out of Time	Howardsville	va	24562	medicalcannabis.com	4342603779	1	1	1	1	1	1	1	1	1	4.5	10.5	1
3642575	100773	45916	14	Paycom	Oklahoma City	ok	73142	paycom.com	4057226900	Paycom	Oklahoma City	ok	73142	paycom.com	4057226900	1	1	1	1	1	1	1	1	1	4.5	10.5	1
4455931	100774	46056	8	Pat & Emmitt Smith Charities	North Dallas	tx	75248	None	9725840525	Pat & Emmitt Smith Charities	North Dallas	tx	75248	None	9725840525	1	1	1	1	1	1	1	1	1	4.5	10.5	1
4456057	100775	46081	9	Payne West Insurance	Billings	mt	59102	paynewest.com	4062381900	Payne West Insurance	Billings	mt	59102	paynewest.com	4062381900	1	1	1	1	1	1	1	1	1	4.5	10.5	1
4456459	100777	46372	8	Paradisus Dei	Houston	tx	77224	paradisusdei.org	2819743541	Paradisus Dei	Houston	tx	77224	paradisusdei.org	2819743541	1	1	1	1	1	1	1	1	1	4.5	10.5	1
2126933	100779	46485	12	Peoples Institute for Survival & Beyond	New Orleans	la	70119	pisab.org	5043019292	Peoples Institute for Survival & Beyond	New Orleans	la	70119	pisab.org	5043019292	1	1	1	1	1	1	1	1	1	4.5	10.5	1
4456801	100780	46536	10	Paragon Marketing	Skokie	il	60077	paragonmarketing.biz	8476766550	Paragon Marketing	Skokie	il	60077	paragonmarketing.biz	8476766550	1	1	1	1	1	1	1	1	1	4.5	10.5	1
4456897	100781	46904	9	"Personalized Meetings, LLC"	Wilmette	il	60091	personalizedmeetings.com	7732307245	"Personalized Meetings, LLC"	Wilmette	il	60091	personalizedmeetings.com	7732307245	1	1	1	1	1	1	1	1	1	4.5	10.5	1
4457338	100785	47417	13	Partsmaster	Irving	tx	75062	partsmaster.com	8003360450	Partsmaster	Irving	tx	75062	partsmaster.com	8003360450	1	1	1	1	1	1	1	1	1	4.5	10.5	1
4457707	100786	47487	9	Patient Centered Outcomes Research Inst	Washington	dc	20036	pcori.org	2028277700	Patient Centered Outcomes Research Inst	Washington	dc	20036	pcori.org	2028277700	1	1	1	1	1	1	1	1	1	4.5	10.5	1
1398650	100787	47682	7	Phase 2 Technology	Alexandria	va	22314	phase2technology.com	7035486050	Phase 2 Technology	Alexandria	va	22314	phase2technology.com	7035486050	1	1	1	1	1	1	1	1	1	4.5	10.5	1
4458742	100789	48075	10	Pacific Propane Gas Association	Lansing	mi	48933	pacificpropane.org	8445854940	Pacific Propane Gas Association	Lansing	mi	48933	pacificpropane.org	8445854940	1	1	1	1	1	1	1	1	1	4.5	10.5	1
4458975	100791	46814	7	Public Agency Risk Management Association	Sacramento	ca	95814	parma.com	8444672762	Public Agency Risk Management Association	Sacramento	ca	95814	parma.com	8444672762	1	1	1	1	1	1	1	1	1	4.5	10.5	1
4459355	100792	45524	8	Point Foundation	Los Angeles	ca	90036	pointfoundation.org	3239331234	Point Foundation	Los Angeles	ca	90036	pointfoundation.org	3239331234	1	1	1	1	1	1	1	1	1	4.5	10.5	1
2515040	100794	45526	11	PlanIt Now	Rockville	md	20852	planitnow.com	3019073373	PlanIt Now	Rockville	md	20852	planitnow.com	3019073373	1	1	1	1	1	1	1	1	1	4.5	10.5	1
3982819	100796	45602	7	"Prestige Events, LLC"	Chesapeake	va	23320	prestigeeventsva.com	7576797301	"Prestige Events, LLC"	Chesapeake	va	23320	prestigeeventsva.com	7576797301	1	1	1	1	1	1	1	1	1	4.5	10.5	1
4459723	100797	45638	12	Procore Technologies	Carpinteria	ca	93013	procore.com	8052904832	Procore Technologies	Carpinteria	ca	93013	procore.com	8052904832	1	1	1	1	1	1	1	1	1	4.5	10.5	1
4377873	100799	46074	6	"Planning Powers, LLC"	Alexandria	va	22307	planningpowers.com	7037650130	"Planning Powers, LLC"	Alexandria	va	22307	planningpowers.com	7037650130	1	1	1	1	1	1	1	1	1	4.5	10.5	1
